k,home_adv,regress,scale,mov_cap,log_loss,brier
16.0,70.0,0.25,400.0,2.0,0.6610871293994222,0.23312762755517166
20.0,60.0,0.5,400.0,3.0,0.661143801859527,0.2328921690392798
16.0,50.0,0.25,400.0,2.0,0.6612226164357943,0.23323077079435994
16.0,50.0,0.33,400.0,3.0,0.6613249909401769,0.2331215491422409
13.0,80.0,0.25,400.0,2.5,0.661344084809777,0.23319857886288636
24.0,60.0,0.5,400.0,2.0,0.6613847343706022,0.23318370806060398
20.0,70.0,0.5,400.0,3.0,0.6613936420834478,0.23292114215883228
13.0,80.0,0.25,400.0,3.0,0.6615097681457008,0.23315730630021236
20.0,60.0,0.33,400.0,2.0,0.6616293825360315,0.2333383958218912
24.0,70.0,0.5,400.0,2.0,0.6617012777461999,0.23326392809997065
20.0,50.0,0.5,400.0,3.0,0.6617476251261758,0.23323310556125254
16.0,80.0,0.33,400.0,2.5,0.6617537778055551,0.23329224388269307
20.0,80.0,0.4,400.0,2.0,0.66177153962041,0.23334349320064374
20.0,80.0,0.5,400.0,2.5,0.6618374721750732,0.2332086641389534
24.0,50.0,0.5,400.0,2.0,0.6619067170916406,0.2334710962429223
20.0,70.0,0.33,400.0,2.0,0.6619561200778284,0.2334389466335905
20.0,50.0,0.33,400.0,2.0,0.6621323340656532,0.23360156684795935
16.0,80.0,0.33,400.0,3.0,0.6621488712670324,0.2333203586341867
16.0,60.0,0.25,400.0,2.5,0.6621868098480324,0.2335249887014343
20.0,60.0,0.4,400.0,2.5,0.6622022054485415,0.23346779445654392
16.0,80.0,0.25,400.0,2.0,0.6622405465835225,0.2336106831130384
20.0,80.0,0.5,400.0,3.0,0.6624869591355697,0.23330829988250834
20.0,70.0,0.4,400.0,2.5,0.6624870640929235,0.23352488806878713
16.0,70.0,0.25,400.0,2.5,0.6624907631808323,0.23361242370812474
16.0,50.0,0.25,400.0,2.5,0.6627122541355634,0.2337980261811759
20.0,50.0,0.4,400.0,2.5,0.6627598992340548,0.2337754388002478
16.0,60.0,0.25,400.0,3.0,0.6628185020527619,0.23368131973149778
24.0,80.0,0.5,400.0,2.0,0.6628448111905345,0.2336992850702094
16.0,70.0,0.25,400.0,3.0,0.6630911153403842,0.2337362820017225
20.0,80.0,0.33,400.0,2.0,0.6631014968748254,0.23389089214697487
20.0,60.0,0.4,400.0,3.0,0.6631275968586928,0.23372408729324234
24.0,60.0,0.4,400.0,2.0,0.6631579466882328,0.23393943174502543
20.0,70.0,0.4,400.0,3.0,0.6633682945327134,0.23373765363452761
16.0,50.0,0.25,400.0,3.0,0.6633891643757223,0.23398850068023092
24.0,70.0,0.4,400.0,2.0,0.6634641304404717,0.23400299117490053
20.0,60.0,0.25,400.0,2.0,0.6635511053728147,0.23414555218727606
20.0,80.0,0.4,400.0,2.5,0.6636027964486919,0.2339344621915062
16.0,80.0,0.25,400.0,2.5,0.6636149829443533,0.23404884907763837
24.0,50.0,0.4,400.0,2.0,0.6636905542888996,0.2342382962388423
20.0,50.0,0.4,400.0,3.0,0.6637377395572338,0.23407376061495838
20.0,60.0,0.33,400.0,2.5,0.6638105255148341,0.2341385069653921
20.0,70.0,0.25,400.0,2.0,0.6638695988238278,0.23422920574694855
20.0,50.0,0.25,400.0,2.0,0.6640625045501238,0.23442027172256774
24.0,60.0,0.5,400.0,2.5,0.664072495985825,0.23416496684921134
20.0,70.0,0.33,400.0,2.5,0.6640888036691313,0.23418324620542752
16.0,80.0,0.25,400.0,3.0,0.6641930962533708,0.23413976515866863
24.0,70.0,0.5,400.0,2.5,0.6643289145289052,0.23417453622716622
20.0,50.0,0.33,400.0,2.5,0.6643744907863239,0.23445393336474904
20.0,80.0,0.4,400.0,3.0,0.6644511090787518,0.23410318578376105
24.0,80.0,0.4,400.0,2.0,0.6645959928024793,0.2344158841581758
24.0,50.0,0.5,400.0,2.5,0.6646699735583683,0.2345197443066145
24.0,60.0,0.33,400.0,2.0,0.6647521598506227,0.234602570727685
20.0,60.0,0.33,400.0,3.0,0.6648748168707851,0.23443909924899278
20.0,80.0,0.25,400.0,2.0,0.6650066926863472,0.234658924030125
24.0,70.0,0.33,400.0,2.0,0.665051365095243,0.23465325938658235
20.0,70.0,0.33,400.0,3.0,0.6651115449158457,0.23444146283243925
20.0,80.0,0.33,400.0,2.5,0.6651975492865371,0.23457591836356245
